ts,node,srx,stx,etx,erx
18762,5,1,1,21,21
18762,6,13,13,21,33
18762,7,1,1,21,21
18762,8,1,1,21,21
18773,0,20,20,30,40
18773,1,18,18,24,38
18773,2,3,3,21,23
18773,3,20,20,31,40
18773,4,14,14,21,34
18773,5,1,1,21,21
18773,6,14,14,21,34
18773,7,1,1,21,21
18773,8,1,1,21,21
18786,0,20,20,30,40
18786,1,18,18,24,38
18786,2,3,3,21,23
18786,3,20,20,34,40
18786,4,14,14,21,34
18786,5,1,1,21,21
18786,6,14,14,21,34
18786,7,1,1,21,21
18786,8,1,1,21,21
18973,0,20,20,30,40
18973,1,18,18,24,38
18973,2,3,3,21,23
18973,3,20,20,34,40
18973,4,15,15,21,35
18973,5,1,1,21,21
18973,6,14,14,21,34
18973,7,1,1,21,21
18973,8,1,1,21,21
18986,0,20,20,30,40
18986,1,18,18,24,38
18986,2,3,3,21,23
18986,3,20,20,34,40
18986,4,15,15,21,35
18986,5,1,1,21,21
18986,6,15,15,21,35
18986,7,1,1,21,21
18986,8,1,1,21,21
19161,0,21,21,31,41
19161,1,18,18,24,38
19161,2,3,3,21,23
19161,3,20,20,34,40
19161,4,15,15,21,35
19161,5,1,1,21,21
19161,6,15,15,21,35
19161,7,1,1,21,21
19161,8,1,1,21,21
19257,0,21,21,31,41
19257,1,20,20,35,40
19257,2,3,3,21,23
19257,3,20,20,34,40
19257,4,15,15,21,35
19257,5,1,1,21,21
19257,6,15,15,21,35
19257,7,1,1,21,21
19257,8,1,1,21,21
19321,0,21,21,31,41
19321,1,20,20,35,40
19321,2,3,3,21,23
19321,3,21,21,35,41
19321,4,15,15,21,35
19321,5,1,1,21,21
19321,6,15,15,21,35
19321,7,1,1,21,21
19321,8,1,1,21,21
19407,0,21,21,31,41
19407,1,21,21,35,41
19407,2,3,3,21,23
19407,3,21,21,35,41
19407,4,15,15,21,35
19407,5,1,1,21,21
19407,6,15,15,21,35
19407,7,1,1,21,21
19407,8,1,1,21,21
19408,0,21,21,31,41
19408,1,21,21,35,41
19408,2,4,4,21,24
19408,3,21,21,35,41
19408,4,15,15,21,35
19408,5,1,1,21,21
19408,6,15,15,21,35
19408,7,1,1,21,21
19408,8,1,1,21,21
20544,0,22,22,32,42
20544,1,21,21,35,41
20544,2,4,4,21,24
20544,3,21,21,35,41
20544,4,15,15,21,35
20544,5,1,1,21,21
20544,6,15,15,21,35
20544,7,1,1,21,21
20544,8,1,1,21,21
20594,0,22,22,32,42
20594,1,21,21,35,41
20594,2,5,5,21,25
20594,3,21,21,35,41
20594,4,15,15,21,35
20594,5,1,1,21,21
20594,6,15,15,21,35
20594,7,1,1,21,21
20594,8,1,1,21,21
20885,0,22,22,32,42
20885,1,21,21,35,41
20885,2,5,5,21,25
20885,3,21,21,35,41
20885,4,16,16,21,36
20885,5,1,1,21,21
20885,6,15,15,21,35
20885,7,1,1,21,21
20885,8,1,1,21,21
20911,0,22,22,32,42
20911,1,21,21,35,41
20911,2,5,5,21,25
20911,3,21,21,35,41
20911,4,16,16,21,36
20911,5,1,1,21,21
20911,6,16,16,21,36
20911,7,1,1,21,21
20911,8,1,1,21,21
20917,0,22,22,32,42
20917,1,21,21,35,41
20917,2,5,5,21,25
20917,3,21,21,36,41
20917,4,16,16,21,36
20917,5,1,1,21,21
20917,6,16,16,21,36
20917,7,1,1,21,21
20917,8,1,1,21,21
21142,0,22,22,32,42
21142,1,21,21,35,41
21142,2,5,5,21,25
21142,3,21,21,36,41
21142,4,17,17,21,37
21142,5,1,1,21,21
21142,6,16,16,21,36
21142,7,1,1,21,21
21142,8,1,1,21,21
21149,0,22,22,32,42
21149,1,21,21,35,41
21149,2,5,5,21,25
21149,3,21,21,36,41
21149,4,17,17,21,37
21149,5,1,1,21,21
21149,6,17,17,21,37
21149,7,1,1,21,21
21149,8,1,1,21,21
21157,0,23,23,33,43
21157,1,21,21,35,41
21157,2,5,5,21,25
21157,3,21,21,36,41
21157,4,17,17,21,37
21157,5,1,1,21,21
21157,6,17,17,21,37
21157,7,1,1,21,21
21157,8,1,1,21,21
21194,0,23,23,33,43
21194,1,21,21,37,41
21194,2,5,5,21,25
21194,3,21,21,36,41
21194,4,17,17,21,37
21194,5,1,1,21,21
21194,6,17,17,21,37
21194,7,1,1,21,21
21194,8,1,1,21,21
21197,0,23,23,33,43
21197,1,21,21,37,41
21197,2,5,5,21,25
21197,3,21,21,37,41
21197,4,17,17,21,37
21197,5,1,1,21,21
21197,6,17,17,21,37
21197,7,1,1,21,21
21197,8,1,1,21,21
21303,0,23,23,33,43
21303,1,21,21,37,41
21303,2,6,6,21,26
21303,3,21,21,37,41
21303,4,17,17,21,37
21303,5,1,1,21,21
21303,6,17,17,21,37
21303,7,1,1,21,21
21303,8,1,1,21,21
21724,0,23,23,33,43
21724,1,21,21,37,41
21724,2,6,6,21,26
21724,3,21,21,37,41
21724,4,18,18,21,38
21724,5,1,1,21,21
21724,6,17,17,21,37
21724,7,1,1,21,21
21724,8,1,1,21,21
21809,0,23,23,33,43
21809,1,21,21,37,41
21809,2,6,6,21,26
21809,3,21,21,37,41
21809,4,18,18,21,38
21809,5,1,1,21,21
21809,6,18,18,21,38
21809,7,1,1,21,21
21809,8,1,1,21,21
22070,0,23,23,33,43
22070,1,21,21,37,41
22070,2,6,6,21,26
22070,3,21,21,37,41
22070,4,18,18,21,38
22070,5,1,1,21,21
22070,6,19,19,21,39
22070,7,1,1,21,21
22070,8,1,1,21,21
22153,0,23,23,33,43
22153,1,21,21,37,41
22153,2,6,6,21,26
22153,3,21,21,37,41
22153,4,19,19,21,39
22153,5,1,1,21,21
22153,6,19,19,21,39
22153,7,1,1,21,21
22153,8,1,1,21,21
22427,0,24,24,34,44
22427,1,21,21,37,41
22427,2,6,6,21,26
22427,3,21,21,37,41
22427,4,19,19,21,39
22427,5,1,1,21,21
22427,6,19,19,21,39
22427,7,1,1,21,21
