ts,node,srx,stx,etx,erx
1376,6,9,9,29,29
1376,7,10,10,30,30
1376,8,10,10,30,30
1385,0,13,13,30,53
1385,1,12,12,31,32
1385,2,10,10,29,30
1385,3,13,13,32,33
1385,4,12,12,30,32
1385,5,10,10,30,30
1385,6,10,10,30,30
1385,7,10,10,30,30
1385,8,10,10,30,30
1392,0,13,13,30,53
1392,1,12,12,31,32
1392,2,10,10,29,30
1392,3,13,13,32,33
1392,4,12,12,30,32
1392,5,10,10,30,30
1392,6,11,11,30,31
1392,7,10,10,30,30
1392,8,10,10,30,30
1433,0,13,13,32,53
1433,1,12,12,31,32
1433,2,10,10,29,30
1433,3,13,13,32,33
1433,4,12,12,30,32
1433,5,10,10,30,30
1433,6,11,11,30,31
1433,7,11,11,31,31
1433,8,11,11,31,31
1440,0,13,13,32,53
1440,1,12,12,31,32
1440,2,10,10,29,30
1440,3,13,13,32,33
1440,4,12,12,30,32
1440,5,11,11,31,31
1440,6,11,11,30,31
1440,7,11,11,31,31
1440,8,11,11,31,31
1514,0,13,13,32,53
1514,1,13,13,32,33
1514,2,10,10,29,30
1514,3,13,13,32,33
1514,4,12,12,30,32
1514,5,11,11,31,31
1514,6,11,11,30,31
1514,7,11,11,31,31
1514,8,11,11,31,31
1529,0,13,13,32,53
1529,1,13,13,32,33
1529,2,10,10,29,30
1529,3,13,13,32,33
1529,4,12,12,30,32
1529,5,11,11,31,31
1529,6,11,11,31,31
1529,7,11,11,31,31
1529,8,11,11,31,31
1543,0,13,13,32,53
1543,1,13,13,32,33
1543,2,10,10,29,30
1543,3,15,15,32,35
1543,4,12,12,30,32
1543,5,11,11,31,31
1543,6,11,11,31,31
1543,7,11,11,31,31
1543,8,11,11,31,31
1567,0,13,13,32,53
1567,1,13,13,32,33
1567,2,10,10,29,30
1567,3,15,15,32,35
1567,4,14,14,31,34
1567,5,11,11,31,31
1567,6,11,11,31,31
1567,7,11,11,31,31
1567,8,11,11,31,31
1571,0,13,13,32,53
1571,1,15,15,34,35
1571,2,10,10,29,30
1571,3,15,15,32,35
1571,4,14,14,31,34
1571,5,11,11,31,31
1571,6,11,11,31,31
1571,7,11,11,31,31
1571,8,11,11,31,31
1574,0,13,13,32,53
1574,1,15,15,34,35
1574,2,10,10,29,30
1574,3,15,15,34,35
1574,4,14,14,31,34
1574,5,11,11,31,31
1574,6,11,11,31,31
1574,7,11,11,31,31
1574,8,11,11,31,31
1621,0,13,13,32,53
1621,1,15,15,34,35
1621,2,10,10,29,30
1621,3,15,15,34,35
1621,4,14,14,31,34
1621,5,12,12,32,32
1621,6,11,11,31,31
1621,7,11,11,31,31
1621,8,11,11,31,31
1635,0,13,13,32,53
1635,1,15,15,34,35
1635,2,10,10,29,30
1635,3,15,15,34,35
1635,4,14,14,31,34
1635,5,12,12,32,32
1635,6,11,11,31,31
1635,7,11,11,31,31
1635,8,12,12,32,32
1637,0,13,13,32,53
1637,1,15,15,34,35
1637,2,10,10,29,30
1637,3,16,16,34,36
1637,4,14,14,31,34
1637,5,12,12,32,32
1637,6,11,11,31,31
